file_name, name_president, president_no, date_of_inaugural
1789_George_Washington, George Washington, 1st President of the United States: 1789 _ 1797, April 30 1789
1793_George_Washington, George Washington, 1st President of the United States: 1789 _ 1797, March 04 1793
1797_John_Adams, John Adams, 2nd President of the United States: 1797 _ 1801, March 04 1797
1801_Thomas_Jefferson, Thomas Jefferson, 3rd President of the United States: 1801 _ 1809, March 04 1801
1805_Thomas_Jefferson, Thomas Jefferson, 3rd President of the United States: 1801 _ 1809, March 04 1805
2005_George_W_Bush, George W. Bush, 43rd President of the United States: 2001 _ 2009, January 20 2005
2009_Barack_Obama, Barak Obama, 44th President of the United States: 2009 _ 2017, January 20 2009
2013_Barack_Obama, Barak Obama, 44th President of the United States: 2009 _ 2017, January 21 2013
2017_Donald_Trump, Donald J. Trump, 45th President of the United States: 2017 _ 2021, January 20 2017
2021_Joseph_Biden, Joseph R. Biden, 46th President of the United States: 2021 _ present, January 20 2021